# =========================================== 
# Initialization time: 2023-01-13T16:30:16Z
# <module>, <HEX ID>, <timestamp>, <sensors>...
# ------------------------------------------- 
03, 49da2e, 2023-01-17T15:16:50Z, 20.13, 19.50, 19.44, 19.25, 19.19, 18.94, 18.94, 19.00
04, f2f12d, 2023-01-17T15:16:57Z, 19.38, 19.63, 19.63, 19.50, 19.63, 19.63, 20.31, 19.63
05, 5bdc2e, 2023-01-17T15:17:04Z, 19.00, 19.19, 19.63, 19.88, 19.75, 19.56, 19.25, 19.19
06, 66f43c, 2023-01-17T15:17:11Z, 19.81, 20.00, 20.06, 20.19, 20.38, 20.38, 20.50, 20.38
07, 894a2d, 2023-01-17T15:17:18Z, 19.63, 19.38, 19.25, 19.44, 19.56, 19.63, 19.63, 19.69
08, 554f2d, 2023-01-17T15:17:25Z, 17.13, 16.94, 16.81, 16.94, 16.94, 17.00, 16.81, 15.38
02, 50163d, 2023-01-17T15:17:42Z, 16.94, 16.94, 17.00, 17.06, 17.00, 17.00, 16.88, 15.69
03, 49da2e, 2023-01-17T15:17:50Z, 19.88, 19.31, 19.19, 19.06, 19.06, 18.81, 18.81, 18.94
04, f2f12d, 2023-01-17T15:17:57Z, 19.38, 19.56, 19.56, 19.50, 19.63, 19.63, 20.38, 19.63
05, 5bdc2e, 2023-01-17T15:18:04Z, 18.69, 18.94, 19.50, 19.81, 19.75, 19.50, 19.06, 18.94
06, 66f43c, 2023-01-17T15:18:11Z, 19.75, 19.94, 19.94, 20.06, 20.25, 20.38, 20.56, 20.38
07, 894a2d, 2023-01-17T15:18:18Z, 19.56, 19.31, 19.13, 19.31, 19.50, 19.63, 19.63, 19.69
08, 554f2d, 2023-01-17T15:18:25Z, 17.13, 16.94, 16.88, 16.94, 16.94, 17.00, 16.81, 15.06
02, 50163d, 2023-01-17T15:18:42Z, 17.00, 16.94, 17.00, 17.06, 17.00, 17.00, 16.88, 15.50
03, 49da2e, 2023-01-17T15:18:49Z, 19.50, 19.00, 18.94, 18.81, 18.88, 18.63, 18.63, 18.75
04, f2f12d, 2023-01-17T15:18:56Z, 19.38, 19.56, 19.56, 19.56, 19.63, 19.69, 20.38, 19.69
05, 5bdc2e, 2023-01-17T15:19:03Z, 18.50, 18.81, 19.44, 19.81, 19.75, 19.50, 18.94, 18.75
06, 66f43c, 2023-01-17T15:19:10Z, 19.69, 19.88, 19.88, 20.00, 20.25, 20.38, 20.50, 20.31
07, 894a2d, 2023-01-17T15:19:17Z, 19.50, 19.19, 19.06, 19.25, 19.44, 19.63, 19.69, 19.75
08, 554f2d, 2023-01-17T15:19:25Z, 17.06, 16.94, 16.81, 16.94, 16.94, 17.00, 16.81, 14.81
02, 50163d, 2023-01-17T15:19:42Z, 16.94, 16.94, 17.00, 17.06, 17.00, 17.00, 16.88, 15.25
03, 49da2e, 2023-01-17T15:19:49Z, 19.25, 18.81, 18.75, 18.63, 18.63, 18.50, 18.50, 18.69
04, f2f12d, 2023-01-17T15:19:56Z, 19.38, 19.50, 19.50, 19.50, 19.63, 19.69, 20.44, 19.69
05, 5bdc2e, 2023-01-17T15:20:03Z, 18.38, 18.75, 19.38, 19.75, 19.75, 19.38, 18.81, 18.63
06, 66f43c, 2023-01-17T15:20:10Z, 19.63, 19.88, 19.75, 19.88, 20.06, 20.19, 20.44, 20.25
07, 894a2d, 2023-01-17T15:20:17Z, 19.50, 19.19, 19.00, 19.19, 19.38, 19.50, 19.63, 19.69
08, 554f2d, 2023-01-17T15:20:24Z, 17.13, 16.94, 16.81, 16.94, 16.94, 17.00, 16.75, 14.44
02, 50163d, 2023-01-17T15:20:41Z, 16.94, 16.94, 17.00, 17.06, 17.00, 17.00, 16.88, 15.00
03, 49da2e, 2023-01-17T15:20:48Z, 19.06, 18.69, 18.69, 18.56, 18.56, 18.38, 18.44, 18.63
04, f2f12d, 2023-01-17T15:20:55Z, 19.31, 19.50, 19.50, 19.50, 19.63, 19.69, 20.38, 19.69
05, 5bdc2e, 2023-01-17T15:21:02Z, 18.31, 18.69, 19.31, 19.75, 19.69, 19.38, 18.75, 18.56
06, 66f43c, 2023-01-17T15:21:09Z, 19.56, 19.81, 19.69, 19.75, 19.94, 20.06, 20.38, 20.19
07, 894a2d, 2023-01-17T15:21:16Z, 19.44, 19.13, 19.00, 19.19, 19.31, 19.44, 19.56, 19.63
